filename,class,filepath,width,height,aspect_ratio,channels
aug_0_1006.jpg,Actinic keratosis,d:\Skin Disease classification\newtrain\Actinic keratosis\aug_0_1006.jpg,600,450,1.333,RGB
aug_0_1015.jpg,Actinic keratosis,d:\Skin Disease classification\newtrain\Actinic keratosis\aug_0_1015.jpg,600,450,1.333,RGB
aug_0_1016.jpg,Actinic keratosis,d:\Skin Disease classification\newtrain\Actinic keratosis\aug_0_1016.jpg,600,450,1.333,RGB
aug_0_1019.jpg,Actinic keratosis,d:\Skin Disease classification\newtrain\Actinic keratosis\aug_0_1019.jpg,600,450,1.333,RGB
aug_0_102.jpg,Actinic keratosis,d:\Skin Disease classification\newtrain\Actinic keratosis\aug_0_102.jpg,600,450,1.333,RGB
aug_0_1026.jpg,Actinic keratosis,d:\Skin Disease classification\newtrain\Actinic keratosis\aug_0_1026.jpg,600,450,1.333,RGB
aug_0_1027.jpg,Actinic keratosis,d:\Skin Disease classification\newtrain\Actinic keratosis\aug_0_1027.jpg,600,450,1.333,RGB
aug_0_1044.jpg,Actinic keratosis,d:\Skin Disease classification\newtrain\Actinic keratosis\aug_0_1044.jpg,600,450,1.333,RGB
aug_0_1045.jpg,Actinic keratosis,d:\Skin Disease classification\newtrain\Actinic keratosis\aug_0_1045.jpg,600,450,1.333,RGB
aug_0_1062.jpg,Actinic keratosis,d:\Skin Disease classification\newtrain\Actinic keratosis\aug_0_1062.jpg,600,450,1.333,RGB
aug_0_1064.jpg,Actinic keratosis,d:\Skin Disease classification\newtrain\Actinic keratosis\aug_0_1064.jpg,600,450,1.333,RGB
aug_0_1076.jpg,Actinic keratosis,d:\Skin Disease classification\newtrain\Actinic keratosis\aug_0_1076.jpg,600,450,1.333,RGB
aug_0_1079.jpg,Actinic keratosis,d:\Skin Disease classification\newtrain\Actinic keratosis\aug_0_1079.jpg,600,450,1.333,RGB
aug_0_1083.jpg,Actinic keratosis,d:\Skin Disease classification\newtrain\Actinic keratosis\aug_0_1083.jpg,600,450,1.333,RGB
aug_0_1086.jpg,Actinic keratosis,d:\Skin Disease classification\newtrain\Actinic keratosis\aug_0_1086.jpg,600,450,1.333,RGB
aug_0_1091.jpg,Actinic keratosis,d:\Skin Disease classification\newtrain\Actinic keratosis\aug_0_1091.jpg,600,450,1.333,RGB
aug_0_1098.jpg,Actinic keratosis,d:\Skin Disease classification\newtrain\Actinic keratosis\aug_0_1098.jpg,600,450,1.333,RGB
aug_0_11.jpg,Actinic keratosis,d:\Skin Disease classification\newtrain\Actinic keratosis\aug_0_11.jpg,600,450,1.333,RGB
aug_0_1103.jpg,Actinic keratosis,d:\Skin Disease classification\newtrain\Actinic keratosis\aug_0_1103.jpg,600,450,1.333,RGB
aug_0_1106.jpg,Actinic keratosis,d:\Skin Disease classification\newtrain\Actinic keratosis\aug_0_1106.jpg,600,450,1.333,RGB
aug_0_1115.jpg,Actinic keratosis,d:\Skin Disease classification\newtrain\Actinic keratosis\aug_0_1115.jpg,600,450,1.333,RGB
aug_0_1121.jpg,Actinic keratosis,d:\Skin Disease classification\newtrain\Actinic keratosis\aug_0_1121.jpg,600,450,1.333,RGB
aug_0_115.jpg,Actinic keratosis,d:\Skin Disease classification\newtrain\Actinic keratosis\aug_0_115.jpg,600,450,1.333,RGB
aug_0_1151.jpg,Actinic keratosis,d:\Skin Disease classification\newtrain\Actinic keratosis\aug_0_1151.jpg,600,450,1.333,RGB
aug_0_117.jpg,Actinic keratosis,d:\Skin Disease classification\newtrain\Actinic keratosis\aug_0_117.jpg,600,450,1.333,RGB
aug_0_1181.jpg,Actinic keratosis,d:\Skin Disease classification\newtrain\Actinic keratosis\aug_0_1181.jpg,600,450,1.333,RGB
aug_0_1182.jpg,Actinic keratosis,d:\Skin Disease classification\newtrain\Actinic keratosis\aug_0_1182.jpg,600,450,1.333,RGB
aug_0_1190.jpg,Actinic keratosis,d:\Skin Disease classification\newtrain\Actinic keratosis\aug_0_1190.jpg,600,450,1.333,RGB
aug_0_1198.jpg,Actinic keratosis,d:\Skin Disease classification\newtrain\Actinic keratosis\aug_0_1198.jpg,600,450,1.333,RGB
aug_0_12.jpg,Actinic keratosis,d:\Skin Disease classification\newtrain\Actinic keratosis\aug_0_12.jpg,600,450,1.333,RGB
aug_0_1200.jpg,Actinic keratosis,d:\Skin Disease classification\newtrain\Actinic keratosis\aug_0_1200.jpg,600,450,1.333,RGB
aug_0_1210.jpg,Actinic keratosis,d:\Skin Disease classification\newtrain\Actinic keratosis\aug_0_1210.jpg,600,450,1.333,RGB
aug_0_1213.jpg,Actinic keratosis,d:\Skin Disease classification\newtrain\Actinic keratosis\aug_0_1213.jpg,600,450,1.333,RGB
aug_0_1215.jpg,Actinic keratosis,d:\Skin Disease classification\newtrain\Actinic keratosis\aug_0_1215.jpg,600,450,1.333,RGB
aug_0_1223.jpg,Actinic keratosis,d:\Skin Disease classification\newtrain\Actinic keratosis\aug_0_1223.jpg,600,450,1.333,RGB
