filename,filepath,true_class_idx,true_class,pred_class_idx,pred_class,confidence,is_correct
aug_0_6565.jpg,d:\Skin Disease classification\newtrain\Atopic Dermatitis\aug_0_6565.jpg,1,Atopic Dermatitis,1,Atopic Dermatitis,1.0,True
aug_0_1255.jpg,d:\Skin Disease classification\newtrain\Tinea Ringworm Candidiasis\aug_0_1255.jpg,7,Tinea Ringworm Candidiasis,7,Tinea Ringworm Candidiasis,1.0,True
aug_0_3025.jpg,d:\Skin Disease classification\newtrain\Benign keratosis\aug_0_3025.jpg,2,Benign keratosis,2,Benign keratosis,1.0,True
aug_0_9187.jpg,d:\Skin Disease classification\newtrain\Atopic Dermatitis\aug_0_9187.jpg,1,Atopic Dermatitis,1,Atopic Dermatitis,1.0,True
aug_0_485.jpg,d:\Skin Disease classification\newtrain\Actinic keratosis\aug_0_485.jpg,0,Actinic keratosis,0,Actinic keratosis,0.5117,True
aug_0_330.jpg,d:\Skin Disease classification\newtrain\Atopic Dermatitis\aug_0_330.jpg,1,Atopic Dermatitis,1,Atopic Dermatitis,1.0,True
aug_0_9291.jpg,d:\Skin Disease classification\newtrain\Actinic keratosis\aug_0_9291.jpg,0,Actinic keratosis,0,Actinic keratosis,0.9903,True
aug_0_8575.jpg,d:\Skin Disease classification\newtrain\Melanoma\aug_0_8575.jpg,5,Melanoma,5,Melanoma,1.0,True
aug_0_5847.jpg,d:\Skin Disease classification\newtrain\Dermatofibroma\aug_0_5847.jpg,3,Dermatofibroma,3,Dermatofibroma,0.9999,True
aug_0_9181.jpg,d:\Skin Disease classification\newtrain\Vascular lesion\aug_0_9181.jpg,8,Vascular lesion,8,Vascular lesion,1.0,True
aug_0_787.jpg,d:\Skin Disease classification\newtrain\Squamous cell carcinoma\aug_0_787.jpg,6,Squamous cell carcinoma,6,Squamous cell carcinoma,0.9982,True
aug_0_6730.jpg,d:\Skin Disease classification\newtrain\Atopic Dermatitis\aug_0_6730.jpg,1,Atopic Dermatitis,1,Atopic Dermatitis,0.9985,True
aug_0_1083.jpg,d:\Skin Disease classification\newtrain\Actinic keratosis\aug_0_1083.jpg,0,Actinic keratosis,0,Actinic keratosis,0.9998,True
aug_0_4839.jpg,d:\Skin Disease classification\newtrain\Vascular lesion\aug_0_4839.jpg,8,Vascular lesion,8,Vascular lesion,1.0,True
aug_0_7502.jpg,d:\Skin Disease classification\newtrain\Vascular lesion\aug_0_7502.jpg,8,Vascular lesion,8,Vascular lesion,1.0,True
aug_0_8019.jpg,d:\Skin Disease classification\newtrain\Actinic keratosis\aug_0_8019.jpg,0,Actinic keratosis,0,Actinic keratosis,0.9444,True
aug_0_3890.jpg,d:\Skin Disease classification\newtrain\Vascular lesion\aug_0_3890.jpg,8,Vascular lesion,8,Vascular lesion,0.9999,True
aug_0_4291.jpg,d:\Skin Disease classification\newtrain\Atopic Dermatitis\aug_0_4291.jpg,1,Atopic Dermatitis,1,Atopic Dermatitis,1.0,True
aug_0_4791.jpg,d:\Skin Disease classification\newtrain\Tinea Ringworm Candidiasis\aug_0_4791.jpg,7,Tinea Ringworm Candidiasis,7,Tinea Ringworm Candidiasis,1.0,True
aug_0_913.jpg,d:\Skin Disease classification\newtrain\Dermatofibroma\aug_0_913.jpg,3,Dermatofibroma,3,Dermatofibroma,0.9024,True
aug_0_2699.jpg,d:\Skin Disease classification\newtrain\Benign keratosis\aug_0_2699.jpg,2,Benign keratosis,2,Benign keratosis,1.0,True
aug_0_5760.jpg,d:\Skin Disease classification\newtrain\Melanocytic nevus\aug_0_5760.jpg,4,Melanocytic nevus,4,Melanocytic nevus,0.9998,True
aug_0_2229.jpg,d:\Skin Disease classification\newtrain\Dermatofibroma\aug_0_2229.jpg,3,Dermatofibroma,3,Dermatofibroma,0.9985,True
aug_0_9746.jpg,d:\Skin Disease classification\newtrain\Atopic Dermatitis\aug_0_9746.jpg,1,Atopic Dermatitis,1,Atopic Dermatitis,1.0,True
aug_0_4980.jpg,d:\Skin Disease classification\newtrain\Benign keratosis\aug_0_4980.jpg,2,Benign keratosis,2,Benign keratosis,1.0,True
aug_0_5692.jpg,d:\Skin Disease classification\newtrain\Actinic keratosis\aug_0_5692.jpg,0,Actinic keratosis,0,Actinic keratosis,0.4016,True
aug_0_5747.jpg,d:\Skin Disease classification\newtrain\Tinea Ringworm Candidiasis\aug_0_5747.jpg,7,Tinea Ringworm Candidiasis,7,Tinea Ringworm Candidiasis,1.0,True
